TGS 2610 (mV);TGS 2602  (mV);TGS 2620 (mV);TGS 2600 (mV);TGS 2611(mV);kelas
769.3;622.3;1813;1239.7;529.2;1
769.3;627.2;1817.9;1234.8;529.2;1
769.3;627.2;1808.1;1234.8;529.2;1
769.3;627.2;1817.9;1239.7;529.2;1
774.2;627.2;1813;1234.8;524.3;1
769.3;632.1;1817.9;1234.8;529.2;1
774.2;632.1;1827.7;1234.8;529.2;1
769.3;627.2;1827.7;1239.7;529.2;1
774.2;627.2;1822.8;1239.7;529.2;1
769.3;627.2;1822.8;1239.7;524.3;1
774.2;627.2;1822.8;1234.8;524.3;1
779.1;632.1;1822.8;1229.9;524.3;1
774.2;641.9;1822.8;1239.7;529.2;1
774.2;637;1822.8;1239.7;524.3;1
774.2;637;1822.8;1234.8;524.3;1
769.3;641.9;1827.7;1239.7;529.2;1
774.2;637;1822.8;1234.8;524.3;1
769.3;637;1827.7;1254.4;524.3;1
769.3;632.1;1822.8;1239.7;524.3;1
774.2;627.2;1817.9;1239.7;519.4;1
774.2;632.1;1827.7;1239.7;524.3;1
769.3;622.3;1813;1239.7;519.4;1
769.3;617.4;1817.9;1229.9;524.3;1
769.3;617.4;1817.9;1234.8;519.4;1
769.3;617.4;1808.1;1234.8;524.3;1
764.4;617.4;1817.9;1239.7;519.4;1
764.4;627.2;1813;1234.8;519.4;1
769.3;617.4;1808.1;1234.8;519.4;1
769.3;622.3;1813;1234.8;519.4;1
769.3;622.3;1813;1239.7;519.4;1
769.3;622.3;1817.9;1244.6;519.4;1
769.3;627.2;1817.9;1239.7;519.4;1
769.3;622.3;1817.9;1239.7;519.4;1
769.3;627.2;1822.8;1239.7;519.4;1
769.3;627.2;1827.7;1239.7;519.4;1
769.3;622.3;1813;1234.8;514.5;1
764.4;617.4;1813;1239.7;519.4;1
764.4;617.4;1817.9;1234.8;524.3;1
769.3;617.4;1808.1;1239.7;519.4;1
764.4;617.4;1808.1;1229.9;514.5;1
764.4;607.6;1803.2;1234.8;514.5;1
764.4;607.6;1803.2;1229.9;519.4;1
764.4;612.5;1798.3;1234.8;509.6;1
769.3;607.6;1817.9;1229.9;514.5;1
764.4;607.6;1808.1;1229.9;519.4;1
774.2;612.5;1813;1239.7;514.5;1
798.7;646.8;1857.1;1244.6;519.4;1
828.1;720.3;1915.9;1264.2;514.5;1
862.4;833;2023.7;1298.5;514.5;1
886.9;965.3;2107;1357.3;514.5;1
911.4;1087.8;2214.8;1416.1;514.5;1
935.9;1195.6;2283.4;1489.6;524.3;1
955.5;1293.6;2327.5;1553.3;524.3;1
965.3;1381.8;2386.3;1617;524.3;1
984.9;1450.4;2425.5;1661.1;524.3;1
989.8;1514.1;2454.9;1734.6;524.3;1
1004.5;1563.1;2474.5;1764;529.2;1
1009.4;1607.2;2533.3;1808.1;524.3;1
1019.2;1641.5;2533.3;1847.3;529.2;1
1033.9;1670.9;2557.8;1876.7;539;1
1043.7;1705.2;2567.6;1906.1;539;1
1043.7;1739.5;2582.3;1930.6;539;1
1048.6;1739.5;2601.9;1950.2;539;1
1053.5;1768.9;2626.4;1955.1;543.9;1
1058.4;1783.6;2621.5;1989.4;543.9;1
1058.4;1793.4;2626.4;1994.3;543.9;1
1053.5;1803.2;2636.2;2018.8;548.8;1
1073.1;1813;2650.9;2028.6;553.7;1
1063.3;1817.9;2665.6;2038.4;553.7;1
1068.2;1827.7;2650.9;2048.2;553.7;1
1068.2;1837.5;2665.6;2058;553.7;1
1078;1852.2;2670.5;2072.7;553.7;1
1073.1;1847.3;2685.2;2067.8;558.6;1
1078;1842.4;2680.3;2092.3;563.5;1
1078;1857.1;2685.2;2092.3;563.5;1
1082.9;1857.1;2690.1;2116.8;563.5;1
1073.1;1862;2675.4;2102.1;568.4;1
1078;1866.9;2690.1;2107;568.4;1
1082.9;1862;2699.9;2111.9;573.3;1
1082.9;1876.7;2704.8;2121.7;568.4;1
1092.7;1857.1;2685.2;2111.9;573.3;1
1087.8;1862;2714.6;2116.8;578.2;1
1092.7;1862;2695;2116.8;578.2;1
1092.7;1866.9;2704.8;2121.7;578.2;1
1097.6;1871.8;2699.9;2131.5;578.2;1
1092.7;1871.8;2714.6;2136.4;578.2;1
1092.7;1881.6;2709.7;2141.3;583.1;1
1087.8;1876.7;2704.8;2136.4;583.1;1
